precipitation,cloud_cover,sunshine,temperature,relative_humidity,price,nuclear,hydro_run_of_river,biomass,fossil_brown_coal_/_lignite,fossil_hard_coal,fossil_oil,fossil_coal_derived_gas,fossil_gas,geothermal,hydro_water_reservoir,hydro_pumped_storage,others,waste,wind_offshore,wind_onshore,solar,load,residual_load,renewable_share_of_load,renewable_share_of_generation,austria_cbet,belgium_cbet,czech_republic_cbet,denmark_cbet,france_cbet,luxembourg_cbet,netherlands_cbet,norway_cbet,poland_cbet,sweden_cbet,switzerland_cbet,sum_cbet,rolling_mean,rolling_var
0.45,100.0,,8.275,82.0,,4943.3,1904.2,4658.9,7009.5,1692.3,187.8,504.7,2492.8,19.9,43.8,757.3,435.1,1219.7,2912.2,29234.7,0.0,44615.7,12468.7,88.1,67.8,-4.594,,-0.981,-2.1,-6.597,-0.291,-0.406,,0.0,-0.076,-0.8,-15.844,,
0.225,81.0,,8.95,76.25,,4580.7,1896.4,4625.7,6989.8,1755.4,187.5,538.8,2481.9,20.0,44.9,707.9,433.2,1102.6,3106.4,30054.1,0.0,43314.8,10154.3,92.9,68.8,-4.619,,-1.409,-2.1,-6.803,-0.27,-0.2,,0.0,-0.076,-0.8,-16.276,,
0.1,75.0,,8.45,76.25,,4907.7,1886.1,4627.1,6936.8,1780.7,187.1,494.1,2512.3,19.8,42.5,77.1,427.9,1110.4,3101.8,30603.3,0.0,42648.9,8943.7,95.6,69.5,-4.502,,-1.825,-2.1,-6.166,-0.256,-0.714,,0.0,-0.076,-0.723,-16.362,,
0.0,90.5,0.0,8.875,72.5,,4747.9,1877.4,4634.2,6863.4,1753.9,187.2,463.6,2503.2,19.0,44.2,55.8,428.1,1135.6,3233.5,30848.4,0.0,42424.4,8342.6,97.0,70.0,-4.6,,-1.785,-2.1,-5.913,-0.25,-0.118,,0.0,-0.076,-0.8,-15.642,,
0.0,93.5,0.0,8.875,74.0,,4751.0,1867.6,4627.2,6892.9,1766.4,187.1,496.3,2509.9,18.8,45.1,62.1,428.6,1190.1,3301.0,31228.4,0.4,42519.0,7989.2,97.9,70.1,-4.618,,-1.811,-2.1,-5.738,-0.252,-0.201,,0.0,-0.076,-0.79,-15.586,,
0.125,93.5,0.0,7.875,77.5,,4833.1,1861.6,4629.9,6788.8,1774.1,187.4,485.3,2432.5,19.3,40.8,59.8,428.1,1172.2,3310.5,31182.0,0.4,41133.3,6640.4,101.1,70.2,-5.068,,-1.607,-2.1,-5.776,-0.221,-0.022,,0.0,-0.076,-0.8,-15.67,,
0.125,87.25,0.0,7.5,76.75,,4618.8,1844.3,4516.8,6683.0,1768.5,187.3,462.4,2379.3,19.6,42.0,52.2,428.1,1177.5,3297.2,30479.6,0.4,41351.8,7574.7,98.5,70.3,-5.449,,-1.16,-2.1,-4.515,-0.223,-0.007,,0.0,-0.076,-0.8,-14.33,,
0.025,81.0,0.0,7.324999999999999,75.5,,4598.1,1832.3,4553.1,6647.4,1589.8,187.9,368.1,2332.5,19.7,40.8,51.3,428.0,1167.1,3297.5,29938.5,2.9,42376.9,9138.0,94.9,70.5,-5.244,,-1.2,-2.1,-3.154,-0.235,-0.576,,0.0,-0.076,-0.8,-13.385,,
0.0,81.0,0.0,7.225,73.5,,4636.0,1825.5,4709.4,6750.4,1589.5,187.5,311.0,2500.2,19.4,38.2,58.5,428.0,1167.6,3299.9,30182.3,935.3,44224.7,9807.2,93.9,70.8,-5.561,,-1.2,-2.1,-2.482,-0.249,-1.246,,0.0,-0.076,-0.8,-13.715,,
0.0,87.25,9.75,7.2250000000000005,72.5,,4846.9,1832.9,4770.4,6835.8,1610.4,187.6,313.2,2570.8,19.1,44.9,179.3,428.1,1171.0,3210.6,30945.0,3170.2,46828.5,9502.7,95.1,71.6,-5.637,,-1.2,-2.1,-5.305,-0.272,-0.002,,0.0,-0.076,-0.8,-15.392,,
0.1,68.5,14.25,7.375,72.75,,4791.4,1843.3,4771.5,6683.5,1632.7,187.3,310.5,2619.5,19.0,42.2,74.0,428.1,1195.5,3267.5,31859.0,5845.1,49458.7,8487.1,97.4,73.5,-5.493,,-1.2,-2.1,-6.096,-0.305,-0.048,,0.0,-0.076,-0.8,-16.118,,
0.0,71.75,24.75,8.025,65.5,,5008.8,1899.9,4755.6,6745.0,1659.7,187.6,307.1,2613.6,19.0,50.4,214.7,428.1,1158.1,3302.1,31412.4,7078.9,51479.1,9685.7,95.3,73.4,-5.153,,-1.38,-2.1,-6.869,-0.312,-0.028,,0.0,-0.066,-0.8,-16.708,,
0.0,87.25,16.25,8.1,63.75,,5709.7,1970.4,4754.7,6402.1,1709.5,188.3,316.1,2636.6,19.0,45.2,146.9,428.2,1179.3,3300.0,30126.1,6534.7,51511.2,11550.4,91.8,72.2,-4.806,,-1.502,-2.1,-6.656,-0.296,-0.073,,0.0,-0.066,-0.782,-16.28,,
0.0,90.5,4.75,7.875,63.25,,7163.1,1966.6,4716.5,6434.5,1700.6,187.3,312.2,2648.4,19.1,44.2,140.9,428.4,1179.3,3305.7,26400.2,5202.9,49584.2,14675.4,85.1,68.2,-4.187,,-1.36,-2.1,-1.066,-0.279,-1.546,,0.0,-0.066,-0.734,-11.338,,
0.0,74.5,13.0,7.675,63.75,,7584.4,1955.1,4762.6,6679.3,1893.7,187.7,303.6,2652.5,19.2,51.2,197.1,428.3,1179.1,4061.5,23075.1,2742.7,49459.8,19580.5,75.2,64.4,-3.724,,-1.261,-2.1,0.465,-0.272,-0.542,,-0.056,-0.066,-0.697,-8.253,,
0.0,62.25,13.25,7.5,65.5,,8489.1,1954.9,4788.0,8445.9,1914.6,187.4,314.6,2902.6,19.7,50.8,508.6,437.4,1189.9,4221.9,20226.6,154.0,50367.9,25765.4,63.4,57.3,-3.745,,-1.289,-2.1,2.038,-0.286,-1.654,,-0.204,-0.066,-0.454,-7.758,,
0.3,59.25,6.25,6.75,71.0,,8759.9,1950.8,4801.2,10620.4,1882.3,187.5,346.5,3038.7,20.2,45.8,3890.0,458.6,1189.9,3714.7,18544.7,0.5,54976.0,32716.1,53.9,49.8,-2.424,,-0.359,-2.1,1.577,-0.328,-1.422,,-0.444,-0.066,-0.8,-6.366,,
0.1,62.25,0.0,6.325,72.75,,8959.7,1950.5,4819.5,11403.7,2002.8,187.1,353.0,3092.2,20.0,29.0,4735.6,470.5,1187.4,3425.7,17699.1,0.4,56380.2,35254.9,50.5,47.2,-2.824,,-0.283,-2.1,3.348,-0.354,-4.112,,-0.425,-0.102,-0.8,-7.652,,
0.4,37.5,0.0,5.55,76.25,,9089.5,1948.9,4835.2,11873.3,1835.0,187.1,308.9,3245.2,20.1,115.5,4907.4,526.9,1180.9,3150.5,17501.6,0.2,55555.4,34903.0,50.6,46.3,-3.025,,0.015,-2.1,-0.085,-0.352,-1.096,,-0.4,-0.179,-0.8,-8.022,,
0.275,65.5,0.0,4.9,80.0,,9109.7,1948.3,4805.9,12311.6,2048.4,188.3,324.3,3431.7,20.4,35.3,4501.6,527.1,1170.0,3024.0,16736.7,0.2,53406.7,33645.7,50.7,45.0,-3.262,,-0.042,-2.1,0.508,-0.345,-2.62,,-0.142,-0.204,-0.8,-9.007,,
0.075,71.5,0.0,4.675000000000001,79.25,,9128.2,1950.6,4793.6,12899.4,2138.7,188.5,323.7,3448.8,20.5,33.1,1663.9,526.8,1194.0,2636.2,16170.5,0.4,50888.3,32081.2,51.4,45.8,-2.595,,0.133,-2.1,-1.646,-0.327,-2.792,,-0.228,-0.256,-0.8,-10.611,,
0.1,100.0,,4.6,81.25,,9145.7,1949.1,4760.3,13261.5,2142.4,188.7,324.6,3437.2,17.2,36.3,1169.5,527.2,1193.0,2462.3,15923.2,0.0,50515.4,32129.9,50.8,45.4,-2.219,,0.077,-2.1,-0.591,-0.363,-2.522,,-0.2,-0.307,-0.795,-9.02,,
0.125,93.5,,5.075,80.5,,9153.9,1943.3,4711.8,13456.3,2062.3,188.3,311.7,3424.6,16.5,42.0,598.1,527.3,1190.8,2233.4,15713.3,0.0,47782.3,29835.7,52.7,45.3,-2.983,,0.41,-2.1,0.594,-0.35,-2.317,,-0.176,-0.391,-0.8,-8.113,,
0.175,100.0,,5.425,79.5,,9036.1,1931.0,4639.1,13096.0,2045.8,188.9,373.0,3380.9,18.4,42.4,44.2,538.3,1254.8,1503.9,15696.3,0.0,44494.9,27294.7,54.8,45.4,-3.935,,0.162,-1.992,3.085,-0.328,-3.541,,0.0,-0.239,-0.8,-7.587,,
0.30000000000000004,93.5,,4.925,82.5,,9058.1,1927.9,4673.5,11955.5,1950.9,188.7,322.8,3379.0,19.5,46.7,22.4,516.4,1256.1,1609.2,15208.9,0.0,42101.7,25283.6,57.1,46.1,-2.916,,0.174,-2.1,2.737,-0.309,-3.762,,0.0,-0.251,-0.793,-7.22,,
0.2,93.5,,4.65,86.0,,9096.7,1909.8,4686.1,11241.1,1957.5,190.3,373.0,3370.7,19.6,45.7,23.0,510.8,1241.2,1550.1,14841.5,0.0,41038.6,24647.0,57.5,46.2,-2.358,,0.369,-2.1,1.937,-0.298,-2.926,,0.0,-0.252,-0.787,-6.415,,
0.2,100.0,,4.5,86.75,,9175.7,1909.8,4679.5,10031.6,1924.1,190.3,340.7,3493.6,19.6,48.9,43.9,510.8,1228.4,1642.3,14207.4,0.0,41457.3,25607.6,55.6,46.6,-2.143,,0.732,-2.1,1.711,-0.292,-2.962,,0.0,-0.271,-0.776,-6.101,,
0.375,100.0,0.0,4.3,88.75,,9193.8,1919.0,4672.1,11062.3,2002.4,191.3,328.5,3756.8,19.6,40.0,21.7,528.4,1202.2,1769.8,14766.8,0.0,42263.5,25727.0,56.1,46.1,-2.659,,0.225,-1.771,2.043,-0.294,-3.227,,0.0,-0.313,-0.728,-6.724,,
0.8500000000000001,100.0,0.0,4.125,88.0,,9138.9,1920.7,4696.2,11866.8,2072.7,191.3,330.0,4045.9,19.3,45.4,53.3,533.0,1234.5,1901.8,15379.1,0.2,44997.8,27716.7,54.5,45.9,-3.694,,0.178,-1.405,0.58,-0.319,-1.918,,0.0,-0.379,-0.8,-7.757,,
0.8999999999999999,100.0,0.0,4.1,90.0,,9179.6,1922.0,4656.4,14251.7,2833.6,191.3,311.5,4491.7,19.3,39.9,873.8,572.4,1196.0,2072.2,16105.2,0.4,50354.0,32176.3,50.3,43.2,-4.05,,0.152,-1.419,1.022,-0.339,-1.758,,-0.029,0.0,-0.792,-7.213,,
0.25,96.75,0.0,4.375,90.75,,9195.7,1935.1,4782.7,15274.5,3460.6,191.2,392.3,5154.3,19.3,44.7,1420.6,616.9,1215.8,2228.2,16475.4,0.3,57503.8,38799.9,45.3,41.7,-3.004,,-0.253,0.401,-1.456,-0.406,-1.798,,-0.251,0.56,-0.782,-6.988,,
0.025,100.0,0.0,4.65,89.25,,9274.0,1936.8,4838.3,15521.6,4723.8,191.2,472.6,5454.9,19.3,40.4,2814.8,621.3,1203.3,2141.9,16297.5,2.8,62105.5,43663.2,41.6,39.4,-2.133,,0.301,1.497,-2.583,-0.462,-1.944,,-0.385,0.615,-0.8,-5.894,,
0.30000000000000004,100.0,0.0,4.675,88.5,,9327.8,1949.2,4855.8,16180.1,5285.4,191.2,497.8,5796.0,19.8,44.7,3111.4,621.4,1196.5,1992.9,16063.0,450.8,64083.7,45577.0,40.4,38.3,-1.65,,0.413,1.905,-2.778,-0.485,-2.819,,-0.4,0.615,-0.8,-5.999,,
0.125,93.5,0.75,4.775,88.75,,9351.3,1932.9,4849.5,16602.3,5850.7,190.7,501.9,5793.6,19.7,48.0,3763.1,634.5,1165.1,1847.2,15893.0,1844.0,65981.2,46397.0,40.9,38.4,-1.529,,0.321,1.895,-2.06,-0.503,-2.859,,-0.395,0.615,-0.8,-5.315,,
0.025,90.25,4.5,5.075,87.5,,9350.5,1934.4,4857.0,16889.9,6091.6,190.9,340.0,5821.4,19.8,48.7,4038.7,634.3,1182.4,1982.2,15112.0,3111.8,67468.3,47262.3,40.9,38.5,-2.421,,0.367,1.875,-1.881,-0.517,-2.939,,-0.349,0.615,-0.8,-6.051,,
0.05,90.5,0.0,5.5,86.0,,9352.0,1945.8,4842.4,16933.1,5948.6,191.3,487.7,5774.1,19.7,56.4,2754.7,633.7,1178.2,2699.9,15905.9,3618.4,68951.1,46726.9,43.0,40.9,-2.469,,-0.185,1.855,-2.422,-0.514,-2.521,,-0.35,0.615,-0.793,-6.784,,
0.0,93.5,0.25,5.65,83.0,,9292.2,1938.8,4849.2,16913.4,6161.6,190.9,510.6,5710.2,19.7,59.5,2268.3,639.4,1168.4,2749.5,16310.1,3644.5,68669.7,45965.7,43.8,41.6,-2.106,,-0.119,1.825,-2.17,-0.502,-2.475,,-0.425,0.615,-0.795,-6.152,,
0.025,93.5,0.0,6.05,79.75,,9273.1,1927.0,4847.9,16822.1,6801.5,189.3,516.1,5691.4,19.6,28.9,2094.3,639.0,1151.5,2362.9,14623.4,3062.3,67212.0,47163.5,40.8,39.1,-1.694,,0.099,1.825,-2.298,-0.494,-2.321,,-0.4,0.615,-0.734,-5.403,,
0.0,90.25,0.75,5.825,81.5,,9297.3,1931.6,4864.1,16736.3,7173.0,189.3,504.9,5707.2,19.9,59.0,2973.4,638.8,1146.6,2398.2,13218.1,1592.6,66543.1,49334.2,37.0,35.9,-2.072,,0.188,1.845,-1.143,-0.487,-1.982,,-0.37,0.615,-0.774,-4.181,,
0.0,90.5,2.25,5.75,80.75,,9150.7,1935.4,4902.2,16765.0,7094.3,189.2,500.7,5774.9,20.2,33.7,2443.3,648.2,1151.5,2698.9,13680.3,128.6,66111.0,49603.2,36.2,35.6,-2.243,,0.235,1.865,-0.433,-0.49,-1.69,,-0.35,0.615,-0.76,-3.251,,
0.1,84.0,0.0,5.4,81.25,,9286.5,1939.0,4908.3,16897.4,7178.2,189.3,498.8,5786.6,20.2,63.9,3903.2,648.3,1164.6,3224.5,14312.2,0.4,69676.5,52139.4,35.9,35.7,-1.587,,0.515,1.865,-1.113,-0.522,-1.946,,-0.245,0.615,-0.8,-3.219,,
0.0,90.25,0.0,5.275,81.75,,9273.5,1939.2,4895.1,17001.9,7170.8,189.2,500.8,5895.9,20.3,60.4,1470.8,648.7,1158.2,3350.6,15886.4,0.4,69948.8,50711.4,38.1,38.4,-1.676,,0.601,1.855,-2.424,-0.524,-1.384,,-0.11,0.615,-0.8,-3.847,,
0.0,93.5,0.0,5.375,81.0,,9218.8,1932.0,4855.3,17058.1,6454.0,189.2,507.6,5719.2,20.6,63.6,1502.0,649.0,1146.2,4018.2,16974.2,0.3,69487.4,48494.7,40.8,40.4,-1.675,,0.225,1.294,-1.177,-0.501,-0.912,,-0.345,0.615,-0.8,-3.276,,
0.025,71.5,0.0,4.975,83.75,,8991.9,1920.2,4843.9,16986.8,4767.7,189.3,495.8,5249.0,20.5,63.0,1214.7,649.2,1144.2,4216.7,18994.9,0.3,66219.1,43007.2,46.2,43.8,-2.555,,-0.142,0.567,-1.502,-0.464,-1.569,,-0.35,0.6,-0.8,-6.216,,
0.2,96.75,0.0,4.825,84.75,,9215.9,1926.9,4825.4,15822.2,3134.4,189.2,502.3,4699.5,20.7,64.6,862.9,646.2,1164.9,4254.3,19968.5,0.3,62487.2,38264.0,50.5,46.9,-2.547,,-0.215,-1.094,-0.249,-0.421,-2.419,,-0.425,0.0,-0.8,-8.171,,
0.05,100.0,,4.725,83.0,,9235.1,1934.1,4792.7,14117.8,2828.1,189.0,469.4,4442.2,21.2,57.8,1215.9,640.4,1160.7,4249.0,21090.8,0.0,60574.5,35234.7,53.9,49.2,-3.63,,-0.41,-1.714,-0.196,-0.438,-2.192,,-0.35,-0.102,-0.8,-9.831,,
0.0,93.5,,4.875,81.5,,8931.7,1934.5,4765.7,10482.9,2687.7,189.3,245.0,4123.6,21.5,50.4,1363.2,620.3,1165.3,4288.8,23272.3,0.0,56520.7,28959.6,61.7,54.3,-3.615,,-0.693,-2.1,-1.096,-0.425,-1.774,,-0.37,-0.076,-0.8,-10.949,,
0.275,93.5,,4.725,82.0,,8410.4,1929.5,4731.7,8928.9,2347.5,189.7,310.0,3396.4,21.6,55.6,386.2,526.0,1251.5,4320.4,25524.4,0.0,53360.0,23515.2,69.6,59.6,-4.005,,-1.511,-2.1,-0.085,-0.409,-1.28,,-0.422,-0.076,-0.8,-10.689,,
0.275,100.0,,4.475,82.5,,6968.3,1925.9,4727.1,8189.0,2251.1,189.3,403.4,3062.2,21.2,42.5,54.2,483.5,1284.4,4370.9,27635.9,0.0,51076.6,19069.8,76.9,63.8,-4.637,,-1.199,-2.1,0.809,-0.388,-1.446,,-0.245,-0.076,-0.8,-10.082,,
0.25,93.5,,4.575,82.75,,6009.2,1917.4,4728.2,7961.0,2173.1,189.7,422.6,3056.3,21.2,45.7,39.0,498.2,1277.1,4456.2,28988.6,0.0,49872.5,16427.7,81.7,65.9,-4.829,,-1.758,-2.1,0.092,-0.375,-1.652,,-0.17,-0.076,-0.8,-11.669,,
0.525,100.0,,4.574999999999999,86.5,,5596.2,1900.6,4711.3,7779.3,2122.6,189.5,463.2,3061.3,21.1,63.6,55.3,497.4,1261.2,4393.8,30975.1,0.0,50042.2,14673.3,85.2,67.6,-5.316,,-1.603,-2.1,-0.404,-0.369,-1.408,,-0.162,-0.076,-0.8,-12.237,,
1.25,93.5,0.0,4.775,90.0,,5603.0,1903.8,4702.1,7764.7,2112.2,188.3,421.6,3065.0,20.7,61.8,31.6,497.4,1259.9,4484.9,32845.1,0.0,51242.6,13912.6,87.0,68.6,-5.312,,-1.62,-2.07,-0.393,-0.372,-1.422,,-0.16,-0.076,-0.8,-12.225,,
1.15,96.75,0.0,5.6,91.0,,5811.7,1922.7,4680.6,7797.7,2242.6,188.5,310.0,3073.6,20.0,65.2,44.3,497.4,1261.3,4466.4,34031.8,0.3,54011.0,15512.6,84.7,68.9,-5.806,,-0.999,-2.1,-0.76,-0.399,-1.46,,-0.201,-0.076,-0.8,-12.601,,
