datetime,precipitation,cloud_cover,sunshine,temperature,relative_humidity,price,nuclear,hydro_run_of_river,biomass,fossil_brown_coal_/_lignite,fossil_hard_coal,fossil_oil,fossil_coal_derived_gas,fossil_gas,geothermal,hydro_water_reservoir,hydro_pumped_storage,others,waste,wind_offshore,wind_onshore,solar,load,residual_load,renewable_share_of_load,renewable_share_of_generation,austria_cbet,belgium_cbet,czech_republic_cbet,denmark_cbet,france_cbet,luxembourg_cbet,netherlands_cbet,norway_cbet,poland_cbet,sweden_cbet,switzerland_cbet,sum_cbet
2024-01-01 00:00:00+00:00,0.0,96.75,0.0,6.25,77.75,0.01,,2370.4,4041.2,3332.3,1548.2,398.1,412.0,2398.9,20.2,223.0,451.6,152.4,798.8,5366.0,29023.9,0.0,38408.0,4018.1,107.9,82.0,-1.608,-1.0,-0.826,-3.5,-0.732,-0.186,-0.309,-1.4,-0.773,-0.519,-0.796,-11.65
2024-01-01 01:00:00+00:00,0.0,100.0,0.0,6.125,77.25,0.0,,2371.4,4011.2,3354.8,1539.4,398.3,423.0,2425.0,20.4,208.4,379.0,152.3,797.2,4611.7,28899.0,0.0,37307.9,3797.3,108.6,81.7,-1.022,-1.0,-0.894,-3.458,-1.214,-0.182,-0.157,-1.4,-0.847,-0.519,-0.8,-11.493
2024-01-01 02:00:00+00:00,0.25,81.0,0.0,5.575,81.5,-0.01,,2344.2,4013.5,3353.9,1541.9,398.1,423.9,2426.8,20.3,203.6,164.8,152.3,804.3,4584.1,28411.8,0.0,36984.6,3988.6,108.0,81.8,-0.817,-0.663,-0.607,-3.398,-1.9,-0.184,0.582,-1.4,-0.915,-0.519,-0.794,-10.616
2024-01-01 03:00:00+00:00,0.15,56.25,0.0,5.75,79.75,-0.03,,2347.4,4044.1,3359.3,1542.8,398.4,398.6,2429.4,19.5,203.1,159.8,152.4,798.5,4566.2,28552.9,2.5,37366.9,4245.3,107.4,81.9,-0.566,-0.643,-0.737,-3.0,-2.9,-0.194,0.23,-1.4,-0.896,-0.519,-0.8,-11.426
2024-01-01 04:00:00+00:00,0.0,74.75,0.0,6.15,77.25,-0.02,,2333.7,4104.8,3384.7,1550.7,397.8,401.0,2445.2,19.2,135.8,144.3,152.4,799.8,4496.3,28786.7,2.7,36592.6,3306.9,110.0,81.9,-0.811,-0.998,-0.654,-3.09,-0.548,-0.194,-0.857,-1.4,-0.772,-0.519,-0.799,-10.642
2024-01-01 05:00:00+00:00,0.0,96.75,0.0,6.574999999999999,74.75,-0.05,,2335.0,4185.7,3407.1,1561.4,397.9,375.9,2427.7,19.3,156.1,146.4,152.2,796.6,3963.3,28777.3,3.0,37000.4,4256.8,107.6,81.8,-1.329,-1.0,-0.846,-3.269,-1.295,-0.205,-0.185,-1.4,-0.839,-0.519,-0.8,-11.687
2024-01-01 06:00:00+00:00,0.0,93.5,0.0,6.55,75.0,-0.02,,2343.1,4309.1,3366.4,1556.7,398.4,367.0,2424.4,19.2,113.8,13.2,152.3,805.0,3930.9,29824.4,9.6,37688.2,3923.2,108.6,82.5,-1.22,-0.942,-0.543,-3.07,-1.442,-0.211,-0.506,-1.4,-0.799,-0.519,-0.794,-11.447
2024-01-01 07:00:00+00:00,0.0,78.0,4.75,6.5,77.25,0.0,,2352.2,4343.7,3385.6,1534.4,398.2,374.2,2393.2,19.4,141.2,143.5,152.2,768.5,3412.6,29984.5,1874.6,39273.0,4001.4,108.2,82.9,-1.487,-0.377,-0.821,-3.495,-0.111,-0.221,-0.872,-1.4,-0.912,-0.519,-0.792,-11.007
2024-01-01 08:00:00+00:00,0.0,71.75,15.0,6.7,75.25,0.04,,2392.9,4261.6,3413.2,1546.5,398.0,429.5,2403.1,19.2,140.5,65.3,152.3,802.1,3167.7,29945.9,5134.2,41318.7,3070.9,110.0,83.7,-2.073,-0.443,-0.767,-3.5,-0.455,-0.255,-0.724,-1.4,-0.982,-0.519,-0.799,-11.916
2024-01-01 09:00:00+00:00,0.55,71.75,15.0,6.95,76.75,0.06,,2463.9,4207.6,3359.6,1599.2,397.8,445.1,2343.5,18.9,162.9,114.3,152.3,806.7,3494.9,29522.5,7531.1,44046.5,3498.1,108.5,84.4,-1.662,-0.406,-0.868,-3.5,-0.814,-0.27,-1.019,-1.4,-1.116,-0.519,-0.721,-12.295
